year,race_id,race_name,Driver,Car,Practice1_Position,Practice1Time,Practice2_Position,Practice2Time,Practice3_Position,Practice3Time,Quali_Position,Q1,Q2,Q3,Race_Position,Laps,Pts,Avg speed,PitStopCount,FastestLap_Position,FastestLap_Time
2020,1045,austria,Alexander AlbonALB,Red Bull Racing Honda,7.0,1:05.701,13.0,1:05.453,6.0,1:04.725,5,1:04.661,1:03.746,1:03.868,13,67,0,227.156,1.0,7.0,1:08.432
2020,1045,austria,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,14.0,1:06.360,14.0,1:05.608,18.0,1:05.654,18,1:05.175,,,9,71,2,225.954,1.0,9.0,1:08.796
2020,1045,austria,Carlos SainzSAI,McLaren Renault,4.0,1:05.431,10.0,1:05.352,13.0,1:05.177,8,1:04.537,1:03.971,1:03.971,5,71,10,228.687,1.0,5.0,1:07.974
2020,1045,austria,Charles LeclercLEC,Ferrari,10.0,1:05.924,9.0,1:05.298,5.0,1:04.703,7,1:04.500,1:04.041,1:03.923,2,71,18,228.933,1.0,4.0,1:07.901
2020,1045,austria,Daniel RicciardoRIC,Renault,8.0,1:05.860,5.0,1:04.972,12.0,1:05.088,10,1:04.556,1:04.023,1:04.239,NC,17,0,220.15,,19.0,1:10.610
2020,1045,austria,Daniil KvyatKVY,AlphaTauri Honda,19.0,1:06.943,12.0,1:05.443,14.0,1:05.290,13,1:05.031,1:04.431,,12,69,0,224.847,1.0,13.0,1:09.135
2020,1045,austria,Esteban OconOCO,Renault,13.0,1:06.270,11.0,1:05.415,11.0,1:05.037,14,1:04.933,1:04.643,,8,71,4,225.509,1.0,10.0,1:08.932
2020,1045,austria,George RussellRUS,Williams Mercedes,17.0,1:06.495,18.0,1:06.125,16.0,1:05.565,17,1:05.167,,,NC,49,0,224.256,1.0,14.0,1:09.317
2020,1045,austria,Kevin MagnussenMAG,Haas Ferrari,9.0,1:05.907,15.0,1:05.678,17.0,1:05.648,16,1:05.164,,,NC,24,0,219.807,,20.0,1:10.720
2020,1045,austria,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,15.0,1:06.365,19.0,1:06.278,19.0,1:05.773,19,1:05.224,,,NC,53,0,225.185,1.0,12.0,1:09.031
2020,1045,austria,Lance StrollSTR,Racing Point BWT Mercedes,11.0,1:06.074,7.0,1:05.135,8.0,1:04.918,9,1:04.309,1:03.955,1:04.029,NC,20,0,221.039,,18.0,1:10.326
2020,1045,austria,Lando NorrisNOR,McLaren Renault,6.0,1:05.621,6.0,1:05.087,10.0,1:04.950,4,1:04.606,1:03.819,1:03.626,3,71,16,230.378,1.0,1.0,1:07.475
2020,1045,austria,Lewis HamiltonHAM,Mercedes,1.0,1:04.816,1.0,1:04.304,1.0,1:04.130,2,1:04.198,1:03.096,1:02.951,4,71,12,229.572,1.0,3.0,1:07.712
2020,1045,austria,Max VerstappenVER,Red Bull Racing Honda,3.0,1:05.418,8.0,1:05.215,3.0,1:04.413,3,1:04.024,1:04.000,1:03.477,NC,11,0,224.146,,15.0,1:09.351
2020,1045,austria,Nicholas LatifiLAT,Williams Mercedes,18.0,1:06.906,20.0,1:07.124,20.0,1:07.049,20,1:05.757,,,11,71,0,223.146,1.0,16.0,1:09.662
2020,1045,austria,Note - Norris scored an additional point for setting the fastest lap of the race. Hamilton received a 5-second time penalty for causing a collision. Perez received a 5-second time penalty for speeding in the pit lane.,,,,,,,,,,,,Note - Norris scored an additional point for setting the fastest lap of the race. Hamilton received a 5-second time penalty for causing a collision. Perez received a 5-second time penalty for speeding in the pit lane.,Note - Norris scored an additional point for setting the fastest lap of the race. Hamilton received a 5-second time penalty for causing a collision. Perez received a 5-second time penalty for speeding in the pit lane.,Note - Norris scored an additional point for setting the fastest lap of the race. Hamilton received a 5-second time penalty for causing a collision. Perez received a 5-second time penalty for speeding in the pit lane.,,,,
2020,1045,austria,Pierre GaslyGAS,AlphaTauri Honda,16.0,1:06.404,17.0,1:06.016,9.0,1:04.949,12,1:04.603,1:04.305,,7,71,6,225.205,1.0,11.0,1:09.025
2020,1045,austria,Q1 107% time - 1:08.505,,,,,,,,Q1 107% time - 1:08.505,Q1 107% time - 1:08.505,Q1 107% time - 1:08.505,Q1 107% time - 1:08.505,,,,,,,
