Pos,No,Driver,Car,Time,Gap,Laps,year,race_id,race_name,result_type,table_index,Q1,Q2,Q3,Stops,Lap,Time of day,Total,Avg speed,Time/retired,Pts
1,3,Daniel RicciardoRIC,RB Honda RBPT,1:32.869,,23,2024,1229,bahrain,practice/1,1,,,,,,,,,,
2,4,Lando NorrisNOR,McLaren Mercedes,1:32.901,+0.032s,25,2024,1229,bahrain,practice/1,1,,,,,,,,,,
3,81,Oscar PiastriPIA,McLaren Mercedes,1:33.113,+0.244s,25,2024,1229,bahrain,practice/1,1,,,,,,,,,,
4,22,Yuki TsunodaTSU,RB Honda RBPT,1:33.183,+0.314s,24,2024,1229,bahrain,practice/1,1,,,,,,,,,,
5,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:33.193,+0.324s,20,2024,1229,bahrain,practice/1,1,,,,,,,,,,
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:33.238,+0.369s,21,2024,1229,bahrain,practice/1,1,,,,,,,,,,
7,63,George RussellRUS,Mercedes,1:33.251,+0.382s,25,2024,1229,bahrain,practice/1,1,,,,,,,,,,
8,16,Charles LeclercLEC,Ferrari,1:33.268,+0.399s,24,2024,1229,bahrain,practice/1,1,,,,,,,,,,
9,44,Lewis HamiltonHAM,Mercedes,1:33.302,+0.433s,22,2024,1229,bahrain,practice/1,1,,,,,,,,,,
10,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:33.354,+0.485s,21,2024,1229,bahrain,practice/1,1,,,,,,,,,,
11,55,Carlos SainzSAI,Ferrari,1:33.385,+0.516s,26,2024,1229,bahrain,practice/1,1,,,,,,,,,,
12,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:33.413,+0.544s,24,2024,1229,bahrain,practice/1,1,,,,,,,,,,
13,23,Alexander AlbonALB,Williams Mercedes,1:33.583,+0.714s,17,2024,1229,bahrain,practice/1,1,,,,,,,,,,
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:33.868,+0.999s,20,2024,1229,bahrain,practice/1,1,,,,,,,,,,
15,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:33.923,+1.054s,16,2024,1229,bahrain,practice/1,1,,,,,,,,,,
16,2,Logan SargeantSAR,Williams Mercedes,1:34.213,+1.344s,19,2024,1229,bahrain,practice/1,1,,,,,,,,,,
17,31,Esteban OconOCO,Alpine Renault,1:34.807,+1.938s,21,2024,1229,bahrain,practice/1,1,,,,,,,,,,
18,10,Pierre GaslyGAS,Alpine Renault,1:35.144,+2.275s,24,2024,1229,bahrain,practice/1,1,,,,,,,,,,
19,20,Kevin MagnussenMAG,Haas Ferrari,1:37.477,+4.608s,25,2024,1229,bahrain,practice/1,1,,,,,,,,,,
20,27,Nico HulkenbergHUL,Haas Ferrari,1:37.938,+5.069s,27,2024,1229,bahrain,practice/1,1,,,,,,,,,,
1,44,Lewis HamiltonHAM,Mercedes,1:30.374,,25,2024,1229,bahrain,practice/2,1,,,,,,,,,,
2,63,George RussellRUS,Mercedes,1:30.580,+0.206s,23,2024,1229,bahrain,practice/2,1,,,,,,,,,,
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:30.660,+0.286s,22,2024,1229,bahrain,practice/2,1,,,,,,,,,,
4,55,Carlos SainzSAI,Ferrari,1:30.769,+0.395s,25,2024,1229,bahrain,practice/2,1,,,,,,,,,,
5,81,Oscar PiastriPIA,McLaren Mercedes,1:30.784,+0.410s,27,2024,1229,bahrain,practice/2,1,,,,,,,,,,
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:30.851,+0.477s,25,2024,1229,bahrain,practice/2,1,,,,,,,,,,
