Country;Pilote;Équipe;Australia;China;Japan;Bahrain;Saudi Arabia;United States;Italy;Monaco;Spain;Canada;Austria;United Kingdom;Belgium;Hungary;Netherlands;Italy_2;Azerbaijan;Singapore;United States_2;Mexico;Brazil;United States_3;Qatar;United Arab Emirates
United Kingdom;L. Norris;McLaren;25;19;18;15;;;;;;;;;;;;;;;;;;;;
Australia;O. Piastri;McLaren;2;32;15;25;;;;;;;;;;;;;;;;;;;;
Netherlands;M. Verstappen;Red Bull;18;18;25;8;;;;;;;;;;;;;;;;;;;;
United Kingdom;G. Russell;Mercedes;15;20;10;18;;;;;;;;;;;;;;;;;;;;
Monaco;C. Leclerc;Ferrari;4;4;12;12;;;;;;;;;;;;;;;;;;;;
Italy;K. Antonelli;Mercedes;12;10;8;0;;;;;;;;;;;;;;;;;;;;
United Kingdom;L. Hamilton;Ferrari;1;8;6;10;;;;;;;;;;;;;;;;;;;;
Thailand;A. Albon;Williams;10;6;2;0;;;;;;;;;;;;;;;;;;;;
France;E. Ocon;Haas;0;10;0;4;;;;;;;;;;;;;;;;;;;;
Canada;L. Stroll;Aston Martin;8;2;0;0;;;;;;;;;;;;;;;;;;;;
France;P. Gasly;Alpine;0;0;6;0;;;;;;;;;;;;;;;;;;;;
Germany;N. Hülkenberg;Stake Sauber;6;0;0;0;;;;;;;;;;;;;;;;;;;;
United Kingdom;O. Bearman;Haas;0;4;1;1;;;;;;;;;;;;;;;;;;;;
Japan;Y. Tsunoda;Racing Bulls;0;3;0;2;;;;;;;;;;;;;;;;;;;;
France;I. Hadjar;Racing Bulls;0;0;4;0;;;;;;;;;;;;;;;;;;;;
Spain;C. Sainz Jr;Williams;0;1;0;0;;;;;;;;;;;;;;;;;;;;
Spain;F. Alonso;Aston Martin;0;0;0;0;;;;;;;;;;;;;;;;;;;;
New Zealand;L. Lawson;Red Bull;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Australia;J. Doohan;Alpine;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Brazil;G. Bortoleto;Stake Sauber;0;0;0;0;;;;;;;;;;;;;;;;;;;;
